ORDEM,ID,MÓDULO,STATUS,RESPONSÁVEL
1,17461,FOLHA,AGUARDANDO TESTE,
1,15098,FOLHA,FINALIZADO,JOYCE
1,18567,FOLHA,FINALIZADO,JOYCE
1,18659,CONTÁBIL WEB,NÃO FOI FINALIZADO,WELLINGTON.RODRIGUES
1,18796,CONTÁBIL WEB,AGUARDANDO TESTE,WELLINGTON.RODRIGUES
1,19049,CONTÁBIL WEB,AGUARDANDO TESTE,WELLINGTON.RODRIGUES
1,19058,CONTÁBILWEB,EM DESENVOLVIMENTO,
0,18404,COMPRAS,FINALIZADO,
0,17749,PORTAL DA TRANSPARÊNCIA,FINALIZADO,
0,17724,PORTAL DA TRANSPARÊNCIA,FINALIZADO,
0,16155,COMPRAS,FINALIZADO,NATALLE.SANTOS
0,15911,COMPRAS,FINALIZADO,NATALLE.SANTOS
0,13172,COMPRAS,FINALIZADO,NATALLE.SANTOS
0,4453,COMPRAS,EM DESENVOLVIMENTO,
0,13156,PROTOCOLO,FINALIZADO,NATALLE.SANTOS
0,18406,PROTOCOLO,FINALIZADO,NATALLE.SANTOS
0,15629,EDUCACIONAL,AGUARDANDO TESTE,
0,18687,COMPRAS,FINALIZADO,NATALLE.SANTOS
0,17413,PORTAL SOCIAL,EM DESENVOLVIMENTO,
0,18518,PORTAL SOCIAL,EM DESENVOLVIMENTO,
0,16461,COMPRAS,EM DESENVOLVIMENTO,
0,18768,ARRECADAÇÃO,FINALIZADO,ESTHEFANY.RIBEIRO
0,18771,CONTÁBIL WEB,EM DESENVOLVIMENTO,
0,18777,CONTÁBIL WEB,AGUARDANDO TESTE,
0,18796,CONTÁBIL WEB,AGUARDANDO TESTE,WELLINGTON.RODRIGUES
0,17668,PORTAL TRANSPARÊNCIA,FINALIZADO,RUGLEYS.LIMA
0,18756,COMPRAS,FINALIZADO,NATALLE.SANTOS
0,18737,CONTABILIDADE,FINALIZADO,MICHELLE.FONSECA
0,18852,CONTÁBIL WEB,EM DESENVOLVIMENTO,
0,18928,CONTÁBIL WEB,AGUARDANDO TESTE,
0,18965,CONTÁBIL WEB,AGUARDANDO TESTE,
0,18996,ARRECADAÇÃO,EM DESENVOLVIMENTO,
0,18989,FOLHA,AGUARDANDO TESTE,
0,18958,FOLHA,EM DESENVOLVIMENTO,
0,18974,FOLHA,EM DESENVOLVIMENTO,
0,18550,ARRECADAÇÃO,AGUARDANDO TESTE,
0,19048,CONTÁBIL WEB,EM DESENVOLVIMENTO,
0,19033,FOLHA,AGUARDANDO TESTE,
0,19024,CONTABILIDADE,AGUARDANDO TESTE,
0,18622,PROTOCOLO,FINALIZADO,JOHN.LIMA
0,19067,COMPRAS,EM DESENVOLVIMENTO,
2,17994,ARRECADAÇÃO,AGUARDANDO TESTE,
2,1734,FOLHA,AGUARDANDO TESTE,
3,18114,ARRECADAÇÃO,AGUARDANDO TESTE,
3,16778,FOLHA,AGUARDANDO TESTE,
3,18817,FOLHA,FINALIZADO,JOYCE.ALMEIDA
4,17014,FOLHA,FINALIZADO,JOYCE.ALMEIDA
5,17971,ARRECADAÇÃO,EM DESENVOLVIMENTO,
6,17353,FOLHA,EM DESENVOLVIMENTO,
7,16064,ARRECADAÇÃO,EM DESENVOLVIMENTO,
7,17415,FOLHA,EM DESENVOLVIMENTO,
8,16041,FOLHA,EM DESENVOLVIMENTO,
8,18118,ARRECADAÇÃO,EM DESENVOLVIMENTO,
9,17633,ARRECADAÇÃO,EM DESENVOLVIMENTO,
9,17262,FOLHA,AGUARDANDO TESTE,
10,17461,FOLHA,AGUARDANDO TESTE,
10,14063,ARRECADAÇÃO,EM DESENVOLVIMENTO,
11,18483,ARRECADAÇÃO,EM DESENVOLVIMENTO,
12,7390,ARRECADAÇÃO,AGUARDANDO TESTE,
